"","playerID.Name.PA.OBP"
"1","abreubo01,Bobby Abreu,259,0.359"
"2","ackledu01,Dustin Ackley,673,0.302"
"3","alonsyo01,Yonder Alonso,623,0.360"
"4","altuvjo01,Jose Altuve,622,0.342"
"5","alvarpe01,Pedro Alvarez,589,0.326"
"6","amarial01,Alexi Amarista,293,0.287"
"7","andinro01,Robert Andino,423,0.284"
"8","andruel01,Elvis Andrus,691,0.350"
"9","aokino01,Norichika Aoki,577,0.359"
"10","arencjp01,J.P. Arencibia,369,0.279"
"11","ariasjo01,Joaquin Arias,341,0.317"
"12","avilaal01,Alex Avila,432,0.356"
"13","avilemi01,Mike Aviles,537,0.285"
"14","aybarer01,Erick Aybar,545,0.327"
"15","bakerjo01,John Baker,215,0.316"
"16","barajro01,Rod Barajas,362,0.296"
"17","barmecl01,Clint Barmes,486,0.278"
"18","barneda01,Darwin Barney,585,0.301"
"19","bautijo02,Jose Bautista,397,0.365"
"20","baxtemi01,Mike Baxter,213,0.380"
"21","bayja01,Jason Bay,213,0.239"
"22","beckhgo01,Gordon Beckham,572,0.297"
"23","beltbr01,Brandon Belt,473,0.370"
"24","beltrad01,Adrian Beltre,653,0.372"
"25","beltrca01,Carlos Beltran,629,0.364"
"26","bernaro01,Roger Bernadina,260,0.381"
"27","berryqu01,Quintin Berry,323,0.331"
"28","betanyu01,Yuniesky Betancourt,224,0.259"
"29","betemwi01,Wilson Betemit,373,0.324"
"30","blancgr01,Gregor Blanco,448,0.337"
"31","bloomwi01,Willie Bloomquist,336,0.327"
"32","boescbr01,Brennan Boesch,502,0.289"
"33","bogusbr01,Brian Bogusevic,404,0.300"
"34","bonifem01,Emilio Bonifacio,271,0.332"
"35","bournmi01,Michael Bourn,698,0.351"
"36","brantmi02,Michael Brantley,617,0.363"
"37","braunry02,Ryan Braun,687,0.408"
"38","browndo01,Domonic Brown,212,0.325"
"39","bruceja01,Jay Bruce,637,0.342"
"40","buckjo01,John Buck,400,0.308"
"41","butlebi03,Billy Butler,684,0.383"
"42","cabreas01,Asdrubal Cabrera,616,0.343"
"43","cabreev01,Everth Cabrera,446,0.327"
"44","cabreme01,Melky Cabrera,499,0.399"
"45","cabremi01,Miguel Cabrera,708,0.411"
"46","cainlo01,Lorenzo Cain,240,0.321"
"47","callaal01,Alberto Callaspo,514,0.335"
"48","canoro01,Robinson Cano,705,0.389"
"49","carpema01,Matt Carpenter,335,0.376"
"50","carroja01,Jamey Carroll,526,0.346"
"51","cartech02,Chris Carter,258,0.357"
"52","casilal01,Alexi Casilla,318,0.286"
"53","castrja01,Jason Castro,291,0.344"
"54","castrst01,Starlin Castro,691,0.330"
"55","cespeyo01,Yoenis Cespedes,542,0.363"
"56","chaveer01,Eric Chavez,312,0.359"
"57","choosh01,Shin-Soo Choo,685,0.374"
"58","ciriape01,Pedro Ciriaco,269,0.320"
"59","clevest01,Steve Clevenger,215,0.260"
"60","colvity01,Tyler Colvin,443,0.327"
"61","cozarza01,Zack Cozart,595,0.289"
"62","craigal01,Allen Craig,508,0.360"
"63","crawfbr01,Brandon Crawford,477,0.314"
"64","crispco01,Coco Crisp,500,0.326"
"65","cruzlu01,Luis Cruz,295,0.325"
"66","cruzne02,Nelson Cruz,640,0.323"
"67","cuddymi01,Michael Cuddyer,391,0.322"
"68","damonjo01,Johnny Damon,224,0.281"
"69","davisch02,Chris Davis,565,0.335"
"70","davisik02,Ike Davis,584,0.313"
"71","davisra01,Rajai Davis,485,0.315"
"72","deazaal01,Alejandro De Aza,583,0.353"
"73","dejesda01,David DeJesus,577,0.354"
"74","denorch01,Chris Denorfia,377,0.347"
"75","descada01,Daniel Descalso,419,0.310"
"76","desmoia01,Ian Desmond,547,0.336"
"77","dirksan01,Andy Dirks,341,0.375"
"78","dobbsgr01,Greg Dobbs,340,0.329"
"79","donaljo02,Josh Donaldson,293,0.290"
"80","doumiry01,Ryan Doumit,525,0.331"
"81","doziebr01,Brian Dozier,333,0.273"
"82","drewst01,Stephen Drew,326,0.316"
"83","dudalu01,Lucas Duda,456,0.331"
"84","duncash01,Shelley Duncan,262,0.294"
"85","dunnad01,Adam Dunn,648,0.338"
"86","dysonja01,Jarrod Dyson,324,0.333"
"87","ellisaj01,A.J. Ellis,506,0.389"
"88","ellisma01,Mark Ellis,462,0.333"
"89","ellsbja01,Jacoby Ellsbury,322,0.314"
"90","encared01,Edwin Encarnacion,649,0.399"
"91","escobal02,Alcides Escobar,642,0.333"
"92","escobyu01,Yunel Escobar,598,0.303"
"93","espinda01,Danny Espinosa,657,0.320"
"94","ethiean01,Andre Ethier,621,0.359"
"95","fieldpr01,Prince Fielder,701,0.431"
"96","floreje02,Jesus Flores,294,0.259"
"97","forsylo01,Logan Forsythe,349,0.344"
"98","fowlede01,Dexter Fowler,523,0.392"
"99","francbe01,Ben Francisco,205,0.288"
"100","francje02,Jeff Francoeur,611,0.298"
"101","francju02,Juan Francisco,206,0.286"
"102","frandke01,Kevin Frandsen,211,0.389"
"103","frazito01,Todd Frazier,462,0.335"
"104","freemfr01,Freddie Freeman,615,0.350"
"105","freesda01,David Freese,567,0.376"
"106","furcara01,Rafael Furcal,523,0.329"
"107","gentrcr01,Craig Gentry,265,0.370"
"108","goldspa01,Paul Goldschmidt,582,0.369"
"109","gomesjo01,Jonny Gomes,333,0.381"
"110","gomezca01,Carlos Gomez,444,0.309"
"111","gonzaad01,Adrian Gonzalez,681,0.352"
"112","gonzaca01,Carlos Gonzalez,587,0.385"
"113","gonzama01,Marwin Gonzalez,218,0.280"
"114","gordoal01,Alex Gordon,721,0.372"
"115","gordode01,Dee Gordon,326,0.282"
"116","grandcu01,Curtis Granderson,680,0.326"
"117","grandya01,Yasmani Grandal,225,0.400"
