"","X","pitcher","name","velocity","horizMovement","vertMovement","KPCT"
"1",1,112526,"Bartolo Colon",90,-7.74,5.98,0.1635
"2",2,115629,"LaTroy Hawkins",92.5,-7.04,7.45,0.1638
"3",3,119984,"Darren Oliver",87.5,4.72,7.59,0.2083
"4",4,120485,"Andy Pettitte",89,5.07,8.56,0.1742
"5",5,121250,"Mariano Rivera",91.9,-4.41,6.05,0.2463
"6",6,133225,"Ryan Dempster",89.3,-4.34,9.51,0.2124
"7",7,136600,"Bruce Chen",86.6,7.38,9.83,0.16
"8",8,136880,"Roy Halladay",88.6,-9.94,5.85,0.2052
"9",9,150009,"Ramon Ortiz",88.7,-5.99,6.98,0.1218
"10",10,150274,"Joe Nathan",92.2,-4.46,9.34,0.286
"11",11,150359,"A.J. Burnett",92.4,-5.46,5.15,0.2212
"12",12,150404,"Ted Lilly",87.5,5.82,10.79,0.2033
"13",13,217096,"Barry Zito",82.9,3.72,8.19,0.1582
"14",14,218596,"Tim Hudson",89.7,-5.43,5.71,0.154
"15",15,239795,"Chad Durbin",88.9,-7.12,6.67,0.1719
"16",16,276351,"Jason Grilli",93.3,-6.73,7.74,0.2557
"17",17,276514,"Kevin Gregg",90.7,-6.33,8.45,0.2152
"18",18,276542,"Joaquin Benoit",94.1,-7.7,8.12,0.2712
"19",19,277417,"Josh Beckett",91.6,-6.56,7.16,0.2194
"20",20,279571,"Matt Belisle",90.5,-3.08,7.84,0.1869
"21",21,279782,"Jon Garland",87.4,-2.45,7.84,0.1212
"22",22,279824,"Mark Buehrle",84,4.85,6.59,0.1371
"23",23,282332,"C.C. Sabathia",91.3,4.95,8.42,0.2179
"24",24,283166,"Mike Gonzalez",90.8,6.37,8.72,0.2603
"25",25,285064,"Ryan Vogelsong",89.1,-6.1,6.98,0.1774
"26",26,285079,"R.A. Dickey",81.6,-6.54,4.36,0.1731
"27",27,346793,"Jeremy Affeldt",91.1,10.03,5.29,0.2035
"28",28,346797,"Grant Balfour",93.3,-1.61,10.25,0.2596
"29",29,346798,"Kyle Lohse",89.7,-3.61,4.84,0.1475
"30",30,400010,"Jon Rauch",90.3,-2.34,11.12,0.1871
"31",31,400061,"Roy Oswalt",90.9,-3.85,7.87,0.1911
"32",32,400089,"Rafael Soriano",91.4,-3.24,8.39,0.2494
"33",33,407193,"Brandon Lyon",87.7,-5.39,7.37,0.1666
"34",34,407793,"John Lackey",91.6,-1.6,8.37,0.1805
"35",35,407816,"J.J. Putz",91.7,-3.98,9.36,0.2723
"36",36,407819,"Matt Thornton",94.2,3.47,9.19,0.2517
"37",37,407822,"Jorge De La Rosa",91.1,7.82,7.51,0.1949
"38",38,407825,"Matt Guerrier",89.7,-3.86,6.64,0.1695
"39",39,407845,"Fernando Rodney",96.4,-5.74,7.33,0.2234
"40",40,407853,"Erik Bedard",89.7,9.97,9.71,0.2385
"41",41,407878,"Jose Valverde",92.8,-6.71,6.34,0.2391
"42",42,407908,"Joel Peralta",90.2,-3.19,11.94,0.2301
"43",43,408061,"Francisco Rodriguez",91.1,-3.28,8.38,0.2648
"44",44,408206,"Brett Myers",88.6,-3.89,6.45,0.1883
"45",45,408241,"Jake Peavy",90.7,-7.87,9.03,0.2282
"46",46,421685,"Aaron Harang",89.7,-6.35,7.61,0.1866
"47",47,424144,"Oliver Perez",91.7,7.1,7.43,0.2176
"48",48,424324,"Cliff Lee",90.6,7.26,9.5,0.2206
"49",49,425386,"Jeremy Guthrie",92.6,-5.43,9.31,0.1398
"50",50,425514,"Heath Bell",93.1,-2.15,9.5,0.2462
"51",51,425532,"Jerome Williams",91.6,-7.13,6.1,0.1502
"52",52,425646,"Luis Ayala",89.8,-9.75,1.99,0.1556
"53",53,425657,"Javier Lopez",86.2,10.99,0.4,0.1683
"54",54,425786,"Scott Atchison",91,-5.62,8.65,0.1617
"55",55,425794,"Adam Wainwright",91.3,-2.12,8.55,0.2082
"56",56,425827,"Jeremy Bonderman",90.8,-6.65,5.97,0.1566
"57",57,425840,"Neal Cotts",92.1,3.64,10.56,0.2621
"58",58,425844,"Zack Greinke",91.8,-4.06,9.12,0.2265
"59",59,425856,"Gavin Floyd",91.3,-6.96,8.12,0.1871
"60",60,429715,"Travis Blackley",90.2,7.58,7.96,0.1654
"61",61,429717,"Dan Haren",88.9,-5.92,9.39,0.2151
"62",62,429719,"Edwin Jackson",93,-4.96,7.09,0.1787
"63",63,429722,"Ervin Santana",92.2,-5.14,7.84,0.1903
"64",64,429781,"Kevin Correia",90.5,-4.24,7.7,0.145
"65",65,429783,"Rafael Betancourt",90.1,-1.95,11.27,0.2688
"66",66,429985,"Chad Gaudin",90.8,-4.16,6.8,0.1908
"67",67,430580,"Alfredo Simon",94.5,-7.46,5.85,0.1687
"68",68,430599,"Joe Blanton",89.4,-2.65,10.41,0.1713
"69",69,430606,"Mike Adams",89.8,-6.64,7,0.2619
"70",70,430629,"Joel Hanrahan",96.6,-7.56,9.46,0.2493
"71",71,430630,"Jason Frasor",92.5,-3.04,10.21,0.2347
"72",72,430661,"Dustin McGowan",94.6,-5.37,7.69,0.196
"73",73,430884,"Jesse Crain",94.5,-1.19,11.98,0.2293
"74",74,430904,"Paul Maholm",87,8.98,5.94,0.1473
"75",75,430911,"David Aardsma",91.2,-4.52,9.85,0.233
"76",76,430912,"Matt Cain",91.2,-5.93,7.52,0.1991
"77",77,430935,"Cole Hamels",91.3,5.28,10.64,0.2277
"78",78,431148,"Scott Kazmir",92.2,7.29,9,0.2136
"79",79,431162,"Tim Stauffer",91.6,-6.3,7.11,0.1758
"80",80,433579,"John Danks",89.1,6.22,9.61,0.1777
"81",81,433584,"Fausto Carmona",91,-4.58,7.11,0.1405
"82",82,433585,"Jeff Francis",85.1,4.62,4.65,0.153
"83",83,433586,"Santiago Casilla",93.1,-6.84,6.31,0.2023
"84",84,433587,"Felix Hernandez",91.3,-3.7,4.74,0.2258
"85",85,433589,"Yusmeiro Petit",88,-2.48,9.84,0.1807
"86",86,434378,"Justin Verlander",94.1,-5.96,10.47,0.2361
"87",87,434438,"Billy Buckner",87,-7.58,9.67,0.1632
"88",88,434442,"J.P. Howell",87.5,8.86,4.79,0.2341
"89",89,434538,"Francisco Liriano",92.9,8.85,6.31,0.2245
"90",90,434578,"Joe Saunders",89.5,9.34,6.06,0.1316
"91",91,434592,"Chris Resop",91.4,-5.9,8.17,0.195
"92",92,434622,"Ubaldo Jimenez",92,-6.04,8.78,0.2117
"93",93,434628,"Jason Hammel",92.7,-5.36,8.83,0.1667
"94",94,434637,"Matt Lindstrom",94.8,-4.02,6.96,0.1844
"95",95,434641,"Juan Gutierrez",94.9,-4.82,10.06,0.2018
"96",96,434643,"Wandy Rodriguez",89.4,7.39,9.55,0.2013
"97",97,434669,"Luis Mendoza",91.5,-7.31,6.99,0.1301
"98",98,434671,"Anibal Sanchez",92.8,-2.13,10.69,0.2152
"99",99,435043,"Zach Duke",88.2,8.4,3.54,0.112
"100",100,435045,"Sergio Santos",94.5,-2.02,7.86,0.2962
"101",101,435178,"Josh Johnson",92.8,-4.49,7.58,0.2218
"102",102,435261,"Zach Miner",92.6,-6.66,9.51,0.1361
"103",103,444468,"Hector Rondon",93.4,-4.82,7.73,0.183
"104",104,444520,"Craig Breslow",89.9,9.66,8.24,0.1954
"105",105,444836,"Aaron Laffey",85.3,2.99,6.22,0.1117
"106",106,444935,"Nick Hagadone",94.1,3.37,11.59,0.2253
